tweets,likes,time
there is a luxury in selfreproach when we blame ourselves we feel that no one else has a right to blame us it is the confession not the priest that gives us absolutionpls never let a man read the picture of dorian gray he will read this and it will be bad,2,2021-07-09 14:32:04
the picture of dorian gray but it's your car,8,2021-07-09 14:30:16
  im currently reading the picture of dorian gray im gonna read norwegian wood next besides those i can recommend the sky is everywhere and the gentlemans guide to vice and virtue,0,2021-07-09 14:03:14
just got pride and prejudice and the picture of dorian gray in a charity shop for  each pos,4,2021-07-09 13:55:48
 pause now that ive reread the picture of dorian gray im changing my pinned,3,2021-07-09 13:49:08
the picture of dorian gray,0,2021-07-09 13:03:55
one at the end  the picture of dorian gray x wide   a classic philosophical talefable about vanity and selfimduldgencefor the curious mindread and discover the power of fiction,0,2021-07-09 11:28:14
im gonna start reading the picture of dorian gray the cover is so pretty hehe i also wanted to show off the bookmark i got given for free when i went to a gay bookstore,2,2021-07-09 11:12:40
the picture of dorian gray  oscar wilde,0,2021-07-09 11:12:37
  i didn't finish the picture of dorian gray yet maybe that ,1,2021-07-09 09:47:29
my love of classics continued and i picked up the picture of dorian gray next the genre isn't really my type but i really admired oscar wilde's exquisite writing style ps  i read this and emma online for free on internet archives recommended ,0,2021-07-09 08:54:44
