tweets,likes,time
yeah frankenstein took me a bit to get into lol i own a copy of the picture of dorian gray but i haven’t gotten around to reading it im planning on it though ive heard good things,1,2021-07-09 04:43:22
ive only read frankenstein out of all of them i somewhat enjoyed it it’s different than what im used to but i enjoyed the gothic vibe the picture of dorian gray is another personal fave,1,2021-07-09 04:40:39
there is only one thing in the world worse than being talked about and that is not being talked about ― oscar wilde the picture of dorian gray,0,2021-07-09 04:33:55
i admit that my knowledge of this topic is actually quite shallow but well the topic of gender and identity is actually not a new thing we can find this topic in classic works like wilde’s the picture of dorian gray,7,2021-07-09 04:05:19
im watching the picture of dorian gray  and the movie is in black and white but when they show the painting its in color holy shit,24,2021-07-09 03:00:39
the picture of dorian gray by oscar wilde,0,2021-07-09 02:47:08
we are the ants by shaun david hutchinson and perfect on paper the wicker king challenger deep if we were villains the binding you should see me in a crown a separate peace and the picture of dorian gray,1,2021-07-09 02:40:15
u know i get why the picture of dorian gray is a lot of people’s fave but i have to i looooved the importance of being earnest more but can’t go wrong with either,1,2021-07-09 02:20:30
this is like the picture of dorian gray right allstartrek,0,2021-07-09 01:47:14
is the one on the right the picture of dorian gray,1,2021-07-09 01:46:13
ten great lines from novels the curves of your lips rewrite history —oscar wilde the picture of dorian gray i took a deep breath and listened to the old brag of my heart i am i am i am—sylvia plath the bell jar  writer,3,2021-07-09 01:23:18
did this same thing with a pdf of the uncensored version of the picture of dorian gray bc i didnt want to sign up for a subscription for one pdf,0,2021-07-09 01:07:34
hhahahah  jane eyre ist auch so gut  the picture of dorian gray crime and punishment the secret history ever modern classic und little women alles toll falls du die noch nicht gelesen hast,1,2021-07-08 22:48:31
do you have a dorian gray type picture in your attic because i swear in the last couple of years youve started to look younger and younger,0,2021-07-08 22:47:49
there is only one thing in the world worse than being talked about and that is not being talked about  the picture of dorian gray oscar wilde,2,2021-07-08 22:10:03
you will always be fond of me i represent to you all the sins you never had the courage to commit ― the picture of dorian gray oscar wilde,1,2021-07-08 22:03:42
when i buy my mansion i’ll invite the world to stay so everyone can see a picture of dorian gray,3,2021-07-08 20:49:16
the picture of dorian gray by oscar wilde,0,2021-07-08 20:42:34
finished reading harry potter and the philosopher’s stone and even though there is only  pages i actually have been motivated to finish it in  days so i’m proud of myself hope the reading motivation lingers and up next is the picture of dorian gray,1,2021-07-08 20:35:00
wuthering heights absolut fav the picture of dorian gray a moveable feast norwegian wood amp alles an shakespeare und jane austen  englische literatur,2,2021-07-08 20:33:26
the alchemist  the picture of dorian gray   divine error,0,2021-07-08 19:39:15
what’s a book everyone read in school that you didn’t but still reference often i’ll start the picture of dorian gray,9,2021-07-08 19:14:18
cr the picture of dorian gray,0,2021-07-08 19:04:03
read oscar wilde as a junior in high school can’t really move how much the conceptual introduction to the picture of dorian gray stayed with me and my memory also we have the same birthday i can’t get much more effetetowardqueermale in my thoughts amp mannerisms,0,2021-07-08 18:24:37
when one is in love one always begins by deceiving ones self and one always ends by deceiving others that is what the world calls a romance ― oscar wilde the picture of dorian gray,0,2021-07-08 18:14:23
the picture of dorian gray by oscar wilde   blogging,0,2021-07-08 18:01:13
the picture of dorian gray,0,2021-07-08 16:34:58
evelyns blog for july  the picture of dorian gray a conversation,0,2021-07-08 16:23:24
picture of dorian gray but it’s just with each new infographic they share on ig slowly becomes crowded by a new racist thing they said in the past each time,2,2021-07-08 15:55:25
i’ve always suspected the picture of dorian gray was based on my life now i know it was,70,2021-07-08 15:26:20
how to win friends amp influence people the picture of dorian gray after,9,2021-07-08 15:21:18
one of the key properties of the dorian scale is it’s symmetrical nature this balance seems to mirror the darklight balance of the picture and person in wilde’s dorian gray offering a strong reason why wilde changed the initial title phrygian gray in this essay i will,12,2021-07-08 15:10:39
the alchemist  the picture of dorian gray   divine error,0,2021-07-08 15:03:51
"republishing the picture of dorian gray and making the cover look like a bestselling toxic selfhelp book and calling it ""be gay do crime""",0,2021-07-08 14:52:18
the picture of dorian gray,1,2021-07-08 14:52:02
the picture of dorian gray is such a good book wtf,2,2021-07-08 14:33:17
other stuff i like  the picture of dorian gray for some reason  classic films like s  nbc hannibal  mcu  the trojan war for some reason  sos taylor swift idkhow måneskin hadestown the musical  so uh mutuals come find me,1,2021-07-08 14:14:08
ah the picture of dorian gray power,0,2021-07-08 14:02:25
i have like  books at home that i should read i think i want to read something in english so probably one of the classics i still have maybe the picture of dorian gray,1,2021-07-08 13:14:07
the picture of dorian gray d,0,2021-07-08 12:20:31
the shadow of the wind the bookseller of kabul the hunger games  the picture of dorian gray  there’s more lmaoo,6,2021-07-08 12:20:05
i knew nothing but shadows and i thought them to be real  ― oscar wilde  the picture of dorian gray,0,2021-07-08 11:13:34
i should read the picture of dorian gray again,4,2021-07-08 08:24:34
the picture of dorian gray  the original canvas of the final version of dorian grays portrait  the corrupted decrepit dorian painted by ivan albright  hangs in the art institute chicago artinstitutechi,395,2021-07-08 08:04:19
the alchemist  the picture of dorian gray   divine error,0,2021-07-08 08:02:14
atomic habits  thinking fast and slow  the picture of dorian gray   divine error,1,2021-07-08 07:56:58
oscar wilde’s the picture of dorian gray best book cover ever,19,2021-07-08 07:35:13
madame bovary flaubert the picture of dorian gray oscar wilde,0,2021-07-08 06:38:01
"the picture of dorian gray  oscar wilde  ""knowledge would be fatal it is the uncertainty that charms one a mist makes things wonderful""",1,2021-07-08 04:54:03
the picture of dorian gray mtvlacrushharry,0,2021-07-08 04:52:50
are you readinf the picture of dorian gray,1,2021-07-08 04:42:46
the picture of dorian gray,0,2021-07-08 03:51:47
i kinda wanna read the picture of dorian gray……,0,2021-07-08 03:20:16
it is the stupid and the ugly who have the best of it in this world  oscar wilde the picture of dorian gray,1,2021-07-08 03:13:38
my favorite pastime is reading summaries to books and movies and i always always have to reread the summary to the picture of dorian gray bc im like wow this is so good but the moment i tried to actually read it i was like,1,2021-07-08 03:09:31
